Names,iteration_57_row_sum,iteration_57_normalized_summary_score
Beereshit_CH1,39.448205053806305,0.009243015292344541
Beereshit_CH10,21.748660624027252,0.0050958770484412445
Beereshit_CH11,22.77342849969864,0.005335987977012381
Beereshit_CH12,19.56728368997574,0.004584763796715224
Beereshit_CH13,16.722229778766632,0.0039181459677675645
Beereshit_CH14,19.01482105255127,0.004455317587459357
Beereshit_CH15,21.976219356060028,0.0051491957948130145
Beereshit_CH16,14.661623299121857,0.003435330154554204
Beereshit_CH17,15.143371880054474,0.0035482075210795487
Beereshit_CH18,16.779841899871826,0.003931644927116245
Beereshit_CH19,19.52414560317993,0.004574656213990173
Beereshit_CH2,16.89571464061737,0.003958794793966108
Beereshit_CH20,21.088942050933838,0.0049412999554802614
Beereshit_CH21,23.092091143131256,0.0054106530646210365
Beereshit_CH22,15.975241541862488,0.003743120927021375
Beereshit_CH23,17.03578221797943,0.003991613695554997
Beereshit_CH24,39.11383664608002,0.00916467022438326
Beereshit_CH25,17.39727658033371,0.004076314581559303
Beereshit_CH26,24.00093650817871,0.005623602464880239
Beereshit_CH27,22.155369520187378,0.005191172044540893
Beereshit_CH28,22.352420389652252,0.005237342566047495
Beereshit_CH29,18.866914451122284,0.004420661942747965
Beereshit_CH3,17.722198605537415,0.004152446290053543
Beereshit_CH30,22.82147443294525,0.005347245505590112
Beereshit_CH31,28.571767508983612,0.00669458302740613
Beereshit_CH32,20.279014110565186,0.00475152766220827
Beereshit_CH33,14.512106597423553,0.0034002972510704245
Beereshit_CH34,22.315744519233704,0.0052287491299031555
Beereshit_CH35,15.849778294563293,0.003713723931344844
Beereshit_CH36,41.82406151294708,0.009799696579979828
Beereshit_CH37,17.9372421503067,0.004202832632603512
Beereshit_CH38,18.747219026088715,0.004392616391816055
Beereshit_CH39,19.828745305538177,0.004646026247255328
Beereshit_CH4,15.846739292144775,0.003713011869901503
Beereshit_CH40,15.285186529159546,0.003581435774901713
Beereshit_CH41,38.16635489463806,0.008942668024134851
Beereshit_CH42,26.738417625427246,0.006265015167808561
Beereshit_CH43,18.175848603248596,0.004258739944238752
Beereshit_CH44,20.259867250919342,0.004747041406971421
Beereshit_CH45,21.78700852394104,0.005104862253847903
Beereshit_CH46,21.99019479751587,0.005152470347328583
Beereshit_CH47,32.890826880931854,0.007706571577176905
Beereshit_CH48,16.017115890979767,0.003752932406370564
Beereshit_CH49,35.60061073303223,0.008341494599650277
Beereshit_CH5,41.723802506923676,0.009776205130252125
Beereshit_CH50,23.992173194885254,0.00562154915374295
Beereshit_CH6,17.48391979932785,0.004096615748546456
Beereshit_CH7,25.957341372966766,0.006082003045048294
Beereshit_CH8,16.331514298915863,0.0038265983510815697
Beereshit_CH9,17.265023052692413,0.004045326571413146
Dvarim_CH1,22.642123341560364,0.0053052221770734384
Dvarim_CH10,15.702552855014801,0.003679227888056873
Dvarim_CH11,26.398129403591156,0.006185283042254417
Dvarim_CH12,28.080722630023956,0.006579527467355658
Dvarim_CH13,21.686561286449432,0.00508132670005167
Dvarim_CH14,24.022739708423615,0.005628711120977793
Dvarim_CH15,26.38491642475128,0.006182187140544623
Dvarim_CH16,29.119434595108032,0.006822905602419549
Dvarim_CH17,25.483171939849854,0.005970901530657867
Dvarim_CH18,16.104201912879944,0.003773337325455599
Dvarim_CH19,26.52059817314148,0.006213978408957268
Dvarim_CH2,20.009431421756744,0.004688362382271982
Dvarim_CH20,25.345068216323853,0.005938542774999924
Dvarim_CH21,19.30435484647751,0.0045231575634800784
Dvarim_CH22,27.771667897701263,0.00650711358659394
Dvarim_CH23,17.500163793563843,0.004100421840279331
Dvarim_CH24,28.166408717632294,0.00659960437115964
Dvarim_CH25,16.18663716316223,0.0037926525332818654
Dvarim_CH26,21.982588052749634,0.00515068802901769
Dvarim_CH27,27.66263121366501,0.006481565459965644
Dvarim_CH28,32.412719428539276,0.007594547354837235
Dvarim_CH29,16.969076335430145,0.003975983998547201
Dvarim_CH3,22.357766151428223,0.0052385951188005835
Dvarim_CH30,19.177023708820343,0.004493322906847375
Dvarim_CH31,20.134724855422974,0.0047177195893192405
Dvarim_CH32,82.0918732881546,0.019234751977806656
Dvarim_CH33,59.5289586186409,0.013948088996671663
