file_name,signal_type,chunk_index,value,avg_uncertainty,pair_id,author_A,author_B
Bamidbar_CH18,weighted,3,0.6784519553184509,0.0056346096098423,57_משה חיים לוצאטו_VS_ברכיה הנקדן,משה חיים לוצאטו,ברכיה הנקדן
Bamidbar_CH18,regular,4,0.6784400939941406,0.005014381371438503,57_משה חיים לוצאטו_VS_ברכיה הנקדן,משה חיים לוצאטו,ברכיה הנקדן
Bamidbar_CH18,weighted,4,0.678439736366272,0.005014381371438503,57_משה חיים לוצאטו_VS_ברכיה הנקדן,משה חיים לוצאטו,ברכיה הנקדן
Bamidbar_CH19,regular,0,0.682782769203186,0.005593509413301945,57_משה חיים לוצאטו_VS_ברכיה הנקדן,משה חיים לוצאטו,ברכיה הנקדן
Bamidbar_CH19,weighted,0,0.6827839016914368,0.005593509413301945,57_משה חיים לוצאטו_VS_ברכיה הנקדן,משה חיים לוצאטו,ברכיה הנקדן
Bamidbar_CH19,regular,1,0.6607847213745117,0.005356478970497847,57_משה חיים לוצאטו_VS_ברכיה הנקדן,משה חיים לוצאטו,ברכיה הנקדן
Bamidbar_CH19,weighted,1,0.6607843041419983,0.005356478970497847,57_משה חיים לוצאטו_VS_ברכיה הנקדן,משה חיים לוצאטו,ברכיה הנקדן
Bamidbar_CH19,regular,2,0.6545388102531433,0.005641423165798187,57_משה חיים לוצאטו_VS_ברכיה הנקדן,משה חיים לוצאטו,ברכיה הנקדן
Bamidbar_CH19,weighted,2,0.6545377373695374,0.005641423165798187,57_משה חיים לוצאטו_VS_ברכיה הנקדן,משה חיים לוצאטו,ברכיה הנקדן
Bamidbar_CH2,regular,0,0.606174886226654,0.005410344339907169,57_משה חיים לוצאטו_VS_ברכיה הנקדן,משה חיים לוצאטו,ברכיה הנקדן
Bamidbar_CH2,weighted,0,0.6061809659004211,0.005410344339907169,57_משה חיים לוצאטו_VS_ברכיה הנקדן,משה חיים לוצאטו,ברכיה הנקדן
Bamidbar_CH2,regular,1,0.5935015082359314,0.005337409675121307,57_משה חיים לוצאטו_VS_ברכיה הנקדן,משה חיים לוצאטו,ברכיה הנקדן
Bamidbar_CH2,weighted,1,0.5935055017471313,0.005337409675121307,57_משה חיים לוצאטו_VS_ברכיה הנקדן,משה חיים לוצאטו,ברכיה הנקדן
Bamidbar_CH2,regular,2,0.6044319868087769,0.004996010102331638,57_משה חיים לוצאטו_VS_ברכיה הנקדן,משה חיים לוצאטו,ברכיה הנקדן
Bamidbar_CH2,weighted,2,0.6044338941574097,0.004996010102331638,57_משה חיים לוצאטו_VS_ברכיה הנקדן,משה חיים לוצאטו,ברכיה הנקדן
Bamidbar_CH20,regular,0,0.6748306155204773,0.005234723445028067,57_משה חיים לוצאטו_VS_ברכיה הנקדן,משה חיים לוצאטו,ברכיה הנקדן
Bamidbar_CH20,weighted,0,0.6748299598693848,0.005234723445028067,57_משה חיים לוצאטו_VS_ברכיה הנקדן,משה חיים לוצאטו,ברכיה הנקדן
Bamidbar_CH20,regular,1,0.6663696765899658,0.006229132413864136,57_משה חיים לוצאטו_VS_ברכיה הנקדן,משה חיים לוצאטו,ברכיה הנקדן
Bamidbar_CH20,weighted,1,0.6663693189620972,0.006229132413864136,57_משה חיים לוצאטו_VS_ברכיה הנקדן,משה חיים לוצאטו,ברכיה הנקדן
Bamidbar_CH20,regular,2,0.6746439933776855,0.005099200177937746,57_משה חיים לוצאטו_VS_ברכיה הנקדן,משה חיים לוצאטו,ברכיה הנקדן
Bamidbar_CH20,weighted,2,0.6746475696563721,0.005099200177937746,57_משה חיים לוצאטו_VS_ברכיה הנקדן,משה חיים לוצאטו,ברכיה הנקדן
Bamidbar_CH20,regular,3,0.6646131277084351,0.005920841358602047,57_משה חיים לוצאטו_VS_ברכיה הנקדן,משה חיים לוצאטו,ברכיה הנקדן
Bamidbar_CH20,weighted,3,0.6646143198013306,0.005920841358602047,57_משה חיים לוצאטו_VS_ברכיה הנקדן,משה חיים לוצאטו,ברכיה הנקדן
Bamidbar_CH21,regular,0,0.696799635887146,0.004843094386160374,57_משה חיים לוצאטו_VS_ברכיה הנקדן,משה חיים לוצאטו,ברכיה הנקדן
Bamidbar_CH21,weighted,0,0.6967939734458923,0.004843094386160374,57_משה חיים לוצאטו_VS_ברכיה הנקדן,משה חיים לוצאטו,ברכיה הנקדן
Bamidbar_CH21,regular,1,0.6474992036819458,0.005354627035558224,57_משה חיים לוצאטו_VS_ברכיה הנקדן,משה חיים לוצאטו,ברכיה הנקדן
Bamidbar_CH21,weighted,1,0.6474984884262085,0.005354627035558224,57_משה חיים לוצאטו_VS_ברכיה הנקדן,משה חיים לוצאטו,ברכיה הנקדן
Bamidbar_CH21,regular,2,0.6320986747741699,0.005387975834310055,57_משה חיים לוצאטו_VS_ברכיה הנקדן,משה חיים לוצאטו,ברכיה הנקדן
Bamidbar_CH21,weighted,2,0.6321003437042236,0.005387975834310055,57_משה חיים לוצאטו_VS_ברכיה הנקדן,משה חיים לוצאטו,ברכיה הנקדן
Bamidbar_CH21,regular,3,0.6369707584381104,0.006164195016026497,57_משה חיים לוצאטו_VS_ברכיה הנקדן,משה חיים לוצאטו,ברכיה הנקדן
Bamidbar_CH21,weighted,3,0.6370197534561157,0.006164195016026497,57_משה חיים לוצאטו_VS_ברכיה הנקדן,משה חיים לוצאטו,ברכיה הנקדן
Bamidbar_CH22,regular,0,0.6663713455200195,0.005348504986613989,57_משה חיים לוצאטו_VS_ברכיה הנקדן,משה חיים לוצאטו,ברכיה הנקדן
Bamidbar_CH22,weighted,0,0.6663721203804016,0.005348504986613989,57_משה חיים לוצאטו_VS_ברכיה הנקדן,משה חיים לוצאטו,ברכיה הנקדן
Bamidbar_CH22,regular,1,0.6817114353179932,0.005611027590930462,57_משה חיים לוצאטו_VS_ברכיה הנקדן,משה חיים לוצאטו,ברכיה הנקדן
Bamidbar_CH22,weighted,1,0.681710958480835,0.005611027590930462,57_משה חיים לוצאטו_VS_ברכיה הנקדן,משה חיים לוצאטו,ברכיה הנקדן
Bamidbar_CH22,regular,2,0.6599366664886475,0.006284204311668873,57_משה חיים לוצאטו_VS_ברכיה הנקדן,משה חיים לוצאטו,ברכיה הנקדן
Bamidbar_CH22,weighted,2,0.6599346995353699,0.006284204311668873,57_משה חיים לוצאטו_VS_ברכיה הנקדן,משה חיים לוצאטו,ברכיה הנקדן
Bamidbar_CH22,regular,3,0.6577581167221069,0.005778523162007332,57_משה חיים לוצאטו_VS_ברכיה הנקדן,משה חיים לוצאטו,ברכיה הנקדן
Bamidbar_CH22,weighted,3,0.6577411890029907,0.005778523162007332,57_משה חיים לוצאטו_VS_ברכיה הנקדן,משה חיים לוצאטו,ברכיה הנקדן
Bamidbar_CH22,regular,4,0.6629353761672974,0.004862579517066479,57_משה חיים לוצאטו_VS_ברכיה הנקדן,משה חיים לוצאטו,ברכיה הנקדן
Bamidbar_CH22,weighted,4,0.6629354357719421,0.004862579517066479,57_משה חיים לוצאטו_VS_ברכיה הנקדן,משה חיים לוצאטו,ברכיה הנקדן
Bamidbar_CH22,regular,5,0.6754569411277771,0.005338985472917557,57_משה חיים לוצאטו_VS_ברכיה הנקדן,משה חיים לוצאטו,ברכיה הנקדן
