Names,iteration_89_anomaly_score,iteration_89_anomaly_prediction
Shmot_CH7,0.12135972177499993,1
Shmot_CH8,0.1344937871836332,1
Shmot_CH9,0.11546882975877498,1
Vaikra_CH1,0.09538720379403753,1
Vaikra_CH10,0.11793500396532153,1
Vaikra_CH11,0.0710546224190991,1
Vaikra_CH13,-0.009534644557757987,-1
Vaikra_CH14,-0.10025455663772642,-1
Vaikra_CH15,0.03701538007195326,1
Vaikra_CH16,0.0052074766225189695,1
Vaikra_CH17,0.10598380922302131,1
Vaikra_CH18,0.08303167943918138,1
Vaikra_CH19,0.056283294366612946,1
Vaikra_CH2,0.011022795461233525,1
Vaikra_CH20,0.07163497440798028,1
Vaikra_CH21,0.028446975189132195,1
Vaikra_CH22,0.035943288280787855,1
Vaikra_CH23,0.06875620597653959,1
Vaikra_CH24,0.07383404962683832,1
Vaikra_CH25,-0.07989355655057329,-1
Vaikra_CH26,0.03311889267366436,1
Vaikra_CH27,0.044540770158151555,1
Vaikra_CH3,0.08545535810790966,1
Vaikra_CH4,0.06051845697405922,1
Vaikra_CH5,0.020119652622889783,1
Vaikra_CH6,0.032700116421349124,1
Vaikra_CH7,0.03553029846421357,1
Vaikra_CH8,0.07944347595020917,1
Vaikra_CH9,0.07079787053941566,1
