Names,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Dvarim_CH26,0,1,0,1,0,0,0,0,1,1,1,1,0,0,1,0,0,0,1,1
Dvarim_CH27,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,0,1,0,1,1
Dvarim_CH28,0,1,0,0,1,1,1,1,0,1,0,1,0,0,1,0,0,1,1,1
Dvarim_CH29,0,1,0,1,0,0,0,0,1,1,0,1,0,0,1,0,1,1,1,1
Dvarim_CH3,1,0,0,1,0,0,0,1,1,0,1,1,0,1,1,0,1,1,1,1
Dvarim_CH30,0,1,0,1,1,0,0,0,1,1,1,1,0,0,1,0,0,0,1,1
Dvarim_CH31,0,1,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,1
Dvarim_CH32,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,1,1,0,0
Dvarim_CH33,1,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,1,0,0
Dvarim_CH4,1,1,0,0,0,1,1,0,1,0,0,1,1,0,1,0,0,0,1,1
Dvarim_CH5,0,1,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1
Dvarim_CH6,0,1,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1
Dvarim_CH7,0,1,0,0,1,1,0,0,1,1,1,1,0,0,1,0,0,0,1,1
Dvarim_CH8,1,1,0,1,0,1,0,0,1,0,1,1,0,1,1,0,0,0,1,1
Dvarim_CH9,0,1,0,1,1,1,0,0,1,0,0,1,0,0,1,0,0,1,1,1
Shmot_CH1,0,1,0,1,1,0,1,0,1,1,1,1,0,0,1,0,0,1,1,1
Shmot_CH10,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,1
Shmot_CH12,1,1,0,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,1
Shmot_CH13,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1
Shmot_CH14,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1
Shmot_CH15,1,1,0,1,0,1,0,1,1,1,0,1,0,0,1,0,1,1,1,1
Shmot_CH16,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1
Shmot_CH17,0,1,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,0,1,1
Shmot_CH18,0,1,0,1,1,0,1,0,1,1,0,1,0,0,1,0,0,1,1,1
Shmot_CH19,0,1,0,1,1,0,0,0,1,1,0,1,0,1,1,0,0,0,1,1
Shmot_CH2,0,1,0,0,1,1,1,0,1,0,1,1,0,1,0,0,0,1,1,1
Shmot_CH20,0,1,0,1,1,1,1,0,1,0,0,1,0,0,1,0,0,0,1,1
Shmot_CH21,1,1,0,0,1,1,1,0,1,0,0,1,1,0,1,0,0,1,1,1
Shmot_CH22,0,1,0,0,1,1,1,0,1,0,1,1,1,1,0,1,0,0,1,1
Shmot_CH23,0,1,0,1,1,1,1,0,1,0,0,1,0,1,1,0,0,0,1,1
Shmot_CH24,0,1,0,1,1,0,0,0,1,1,1,1,0,1,1,0,1,0,1,1
Shmot_CH25,1,0,0,0,0,1,1,0,1,0,1,1,1,0,0,1,0,1,1,1
Shmot_CH26,1,0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,1,1,1
Shmot_CH27,1,0,0,1,1,0,0,0,1,1,1,1,0,1,0,0,0,1,1,1
Shmot_CH28,1,0,0,0,0,1,0,1,0,1,1,1,1,0,1,1,1,1,0,0
Shmot_CH29,1,1,0,0,1,1,1,0,1,1,0,1,1,0,0,1,0,1,1,1
Shmot_CH3,0,1,0,1,1,1,0,0,1,1,1,1,0,0,1,0,0,0,1,1
Shmot_CH30,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,1
Shmot_CH31,0,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0,0,1,1,1
Shmot_CH32,0,1,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,0,1,1
Shmot_CH33,0,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,1,1
Shmot_CH34,0,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,1,1
Shmot_CH35,0,1,0,0,0,1,1,0,1,1,1,1,0,1,1,0,0,0,1,1
Shmot_CH36,1,0,0,1,1,1,0,0,1,1,0,1,1,0,0,1,0,0,1,1
Shmot_CH37,1,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,1,1
Shmot_CH38,1,0,0,1,0,1,0,1,1,0,1,1,0,1,0,0,0,1,0,1
Shmot_CH39,1,0,0,0,0,0,1,1,0,1,1,1,1,1,0,1,0,1,0,0
Shmot_CH4,0,1,0,1,1,1,1,0,1,1,1,1,0,0,1,1,0,1,1,1
Shmot_CH40,0,1,0,0,1,1,0,0,1,0,1,1,0,1,1,0,0,1,1,1
Shmot_CH5,0,1,0,1,1,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1
Shmot_CH6,0,1,0,0,1,0,1,0,1,0,1,1,0,1,1,0,0,0,1,1
Shmot_CH7,0,1,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,1,1,1
Shmot_CH8,0,1,0,1,1,1,0,0,1,0,0,1,0,0,1,0,1,1,1,1
Shmot_CH9,0,1,0,0,1,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1
Vaikra_CH1,0,1,0,1,1,1,0,0,1,1,1,1,0,0,1,0,0,0,1,1
Vaikra_CH10,0,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,1,0,1,1
Vaikra_CH11,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,1
Vaikra_CH13,1,0,0,0,1,0,1,1,0,1,0,1,1,0,0,1,0,1,1,1
Vaikra_CH14,0,1,0,0,1,1,1,1,0,1,0,1,0,0,0,1,0,1,1,1
Vaikra_CH15,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,0,1,1
Vaikra_CH16,0,1,0,0,1,0,1,0,1,1,1,1,0,0,0,0,0,1,1,1
Vaikra_CH17,1,1,0,1,1,0,1,0,1,1,1,1,0,0,1,0,0,0,1,1
Vaikra_CH18,0,1,0,0,1,1,1,0,1,0,0,1,0,0,1,0,0,1,1,1
Vaikra_CH19,0,1,0,0,1,0,1,0,1,1,1,1,0,0,1,0,0,0,1,1
Vaikra_CH2,0,1,0,1,1,0,1,0,1,1,1,1,0,0,1,0,0,1,1,1
Vaikra_CH20,1,1,0,0,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,1
Vaikra_CH21,1,1,0,0,1,1,1,0,1,0,0,1,0,0,1,0,0,0,1,1
Vaikra_CH22,0,1,0,0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,1
Vaikra_CH23,1,0,0,0,1,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1
Vaikra_CH24,0,1,0,1,1,1,0,0,1,1,1,1,0,1,1,0,0,1,1,1
Vaikra_CH25,1,1,0,0,0,1,1,1,1,0,1,1,1,0,0,0,0,1,1,1
Vaikra_CH26,0,1,0,0,0,1,1,0,1,0,1,1,0,1,0,0,0,1,1,1
Vaikra_CH27,0,1,0,0,1,0,1,0,1,1,0,1,1,0,0,1,0,1,1,1
Vaikra_CH3,0,1,0,1,1,1,0,0,1,1,1,1,0,1,0,0,0,0,1,1
Vaikra_CH4,1,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0,0,1,1,1
Vaikra_CH5,0,1,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,1
Vaikra_CH6,1,1,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,1,1
Vaikra_CH7,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
Vaikra_CH8,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,1,1
Vaikra_CH9,0,1,0,0,1,1,1,0,1,1,0,1,0,1,1,0,0,1,1,1
