Names,1,2,3,4
Dvarim_CH30,0.0034241937923636064,0.004015785665796803,0.0028866676729515177,0.00388508907717871
Dvarim_CH31,0.003713472992595067,0.00355412863521178,0.002963973204783571,0.004241209348998153
Dvarim_CH32,0.00550610680471251,0.004008731984155974,0.004576277301766575,0.007075012415198541
Dvarim_CH33,0.006391529776287843,0.0057293625767678436,0.0028582789223596467,0.0037884415462145072
Dvarim_CH4,0.005635154330252931,0.005141076379026807,0.003917718018236881,0.005110417123357015
Dvarim_CH5,0.003576253451531835,0.003385767785581596,0.0033567302731894325,0.004041350621244227
Dvarim_CH6,0.003505329664607532,0.0032828286777162262,0.0029059616550925595,0.0038850989558720955
Dvarim_CH7,0.0035395783612458993,0.003385739733328825,0.0030406307202761906,0.0040815707017636165
Dvarim_CH8,0.004231666674425542,0.004309963205904157,0.0028777053252309203,0.0037876913978641315
Dvarim_CH9,0.004608788895247214,0.003385697264518837,0.002981635876226648,0.004044654283048007
Shmot_CH1,0.0045336428000659,0.0032572438963032043,0.0028647309111305263,0.0038695860423163956
Shmot_CH10,0.0036419359343405925,0.0034281428295204557,0.003108833031270378,0.004530913990067045
Shmot_CH12,0.00922050542264617,0.012153081901267846,0.0030141324869180576,0.004746738423391345
Shmot_CH13,0.0034529557418507815,0.0032830269905534267,0.002886676125338554,0.0038337499657624223
Shmot_CH14,0.006848047895752708,0.003686164116727644,0.0029294254815047374,0.004044381656422279
Shmot_CH15,0.004489512762104901,0.0032827732879376213,0.002879314096230122,0.0038824726726156547
Shmot_CH16,0.0037668553990577417,0.004725224654821441,0.003145719248295862,0.004249154682980013
Shmot_CH17,0.0034098289602128118,0.0032571652204928347,0.0032518784120067713,0.003793681369088146
Shmot_CH18,0.0035244517278970947,0.0033856388673196296,0.0028931900982810317,0.004043401881480495
Shmot_CH19,0.00348767794809288,0.003283309937607148,0.003093531393272715,0.003870929613689194
Shmot_CH2,0.003520291254819202,0.003282797617838728,0.006550101262132409,0.01057743347210025
Shmot_CH20,0.003463981936509036,0.004634925271128999,0.002964316935189705,0.004049756692797554
Shmot_CH21,0.004687199542034443,0.004249060294111194,0.0034078756671447955,0.014865998175572197
Shmot_CH22,0.003429809346350556,0.005197511388805354,0.002889902119723994,0.013410718760131758
Shmot_CH23,0.0035021929519683716,0.0032829951600069226,0.012313217672108814,0.004416567827595234
Shmot_CH24,0.003494042886339566,0.003257238070231295,0.003024182375103965,0.0038115775936254834
Shmot_CH25,0.007699163717226179,0.01304551885096927,0.002896804902470132,0.004804873317804153
Shmot_CH26,0.012033044319103235,0.015326342475202115,0.0029340433022887863,0.004014847858711032
Shmot_CH27,0.007319547032288027,0.01292989553161161,0.002869002184046096,0.0038116206609497124
